GENE	BF
ARHGEF2	-1.891
ARHGEF25	-6.274
ARHGEF26	-5.958
ARHGEF28	-5.875
ARHGEF3	-5.093
ARHGEF33	-11.493
ARHGEF35	-0.222
ARHGEF37	-3.418
ARHGEF38	-5.306
ARHGEF39	-4.930
ARHGEF4	-9.506
ARHGEF40	-5.195
ARHGEF5	-5.114
ARHGEF6	-10.899
ARHGEF7	-4.220
ARHGEF9	-6.823
ARID1A	-9.585
ARID1B	-6.858
ARID2	-7.997
ARID3A	-2.782
ARID3B	-3.826
ARID3C	-5.491
ARID4A	-9.684
ARID4B	-2.404
ARID5A	-5.256
ARID5B	-6.073
ARIH1	3.379
ARIH2	-9.596
ARIH2OS	-6.123
ARL1	-3.696
ARL10	-5.780
ARL11	-5.528
ARL13A	-3.614
ARL13B	-7.724
ARL14	-5.606
ARL14EP	-6.535
ARL14EPL	-0.064
ARL15	-10.144
ARL16	-1.736
ARL17A	-3.250
ARL17B	-11.256
ARL2	-2.667
ARL2BP	-6.645
ARL3	-7.256
ARL4A	-6.416
ARL4C	-1.515
ARL4D	-1.597
ARL5A	-5.212
ARL5B	-4.653
ARL5C	-5.553
ARL6	-5.454
ARL6IP1	-8.947
ARL6IP4	-8.633
ARL6IP5	-6.386
ARL6IP6	-1.173
ARL8A	0.827
ARL8B	-7.867
ARL9	-2.070
ARMC1	-5.994
ARMC10	-6.243
ARMC12	-6.013
ARMC2	-7.973
ARMC3	-5.679
ARMC4	-9.721
ARMC5	-0.975
ARMC6	-4.674
ARMC7	0.798
ARMC8	-5.232
ARMC9	-8.146
ARMCX1	-6.904
ARMCX2	-6.282
ARMCX3	-11.291
ARMCX4	-5.069
ARMCX5	-6.635
ARMCX6	-12.540
ARMH1	-7.848
ARMH2	-7.460
ARMH3	-1.991
ARMH4	-6.376
ARMS2	-4.458
ARMT1	-11.103
ARNT	-2.772
ARNT2	-7.709
ARNTL	-7.167
ARNTL2	-11.040
ARPC1A	-6.866
ARPC1B	-10.460
ARPC2	-2.433
ARPC3	-3.944
ARPC4	4.454
ARPC5	-6.464
ARPC5L	-6.081
ARPIN	-8.062
ARPP19	-3.665
ARPP21	-9.903
ARR3	-10.614
ARRB1	-6.206
ARRB2	-12.625
ARRDC1	0.922
ARRDC2	-4.743
ARRDC3	-8.536
ARRDC4	-4.303
ARRDC5	-8.187
ARSA	-3.434
ARSB	-5.229
ARSD	-7.737
ARSF	-6.785
ARSG	-4.058
ARSH	-5.600
ARSI	-4.189
ARSJ	-9.421
ARSK	-9.702
ARSL	-8.626
ART1	-2.409
ART3	-7.101
ART4	-9.849
ART5	-9.501
ARTN	-6.109
ARV1	-9.923
ARVCF	-8.926
ARX	-9.625
AS3MT	-9.703
ASAH1	-4.870
ASAH2	-3.066
ASAH2B	-6.687
ASAP1	-3.985
ASAP2	-8.946
ASAP3	-8.122
ASB1	-8.546
ASB10	-10.689
ASB11	-6.728
ASB12	-1.643
ASB13	-5.503
ASB14	-7.286
ASB15	-4.388
ASB16	-7.101
ASB17	-1.581
ASB18	-8.993
ASB2	-8.109
ASB3	-9.447
ASB4	-6.142
ASB5	-2.332
ASB6	-7.682
ASB7	-13.487
ASB8	-2.905
ASB9	-2.656
ASCC1	-6.840
ASCC2	-3.950
ASCC3	-2.237
ASCL1	-12.491
ASCL2	-3.435
ASCL3	-5.721
ASCL4	-5.450
ASCL5	-5.739
ASF1A	-0.201
ASF1B	-5.414
ASGR1	-8.178
ASGR2	-4.868
ASH1L	-3.770
ASH2L	0.903
ASIC1	-6.151
ASIC2	-5.783
ASIC3	-6.116
ASIC4	-5.974
ASIC5	-9.871
ASIP	-3.339
ASL	-1.262
ASMT	-4.321
ASMTL	-7.829
ASNS	-5.352
ASNSD1	-3.056
ASPA	-5.155
ASPDH	-13.958
ASPG	-4.722
ASPH	-8.333
ASPHD1	-9.894
ASPHD2	-4.225
ASPM	2.608
ASPN	-7.049
ASPRV1	-6.142
ASPSCR1	-6.518
ASRGL1	-7.782
ASS1	-7.634
ASTE1	-6.445
ASTL	-7.093
ASTN1	-11.435
ASTN2	-8.530
ASXL1	0.544
ASXL2	-10.377
ASXL3	-8.216
ASZ1	-4.239
ATAD1	-0.934
ATAD2	-6.824
ATAD2B	-4.466
ATAD3A	-3.665
ATAD3B	-4.636
ATAD3C	-3.905
ATAD5	0.253
ATAT1	-7.219
ATCAY	-4.055
ATE1	-3.164
ATF1	-6.773
ATF2	-12.961
ATF3	-6.764
ATF4	-8.328
ATF5	-6.512
ATF6	-6.215
ATF6B	-10.949
ATF7	-6.012
ATF7IP	-6.900
ATF7IP2	-1.469
ATG10	-4.211
ATG101	-7.367
ATG12	-5.727
ATG13	-5.290
ATG14	-5.718
ATG16L1	-7.867
ATG16L2	-11.891
ATG2A	-6.124
ATG2B	-9.366
ATG3	-2.557
ATG4A	-3.102
ATG4B	-11.178
ATG4C	-6.521
ATG4D	-4.709
ATG5	-5.877
ATG7	-5.976
ATG9A	-4.558
ATG9B	-4.941
ATIC	13.436
ATL1	-12.122
ATL2	-5.732
ATL3	-8.652
ATM	-13.475
ATMIN	4.562
ATN1	-5.904
ATOH1	-10.361
ATOH7	-7.856
ATOH8	0.577
ATOX1	-8.403
ATP10A	-4.538
ATP10B	-9.682
ATP10D	-4.762
ATP11A	-7.323
ATP11B	-2.931
ATP11C	-6.565
ATP12A	-5.155
ATP13A1	-2.368
ATP13A2	-6.877
ATP13A3	-3.947
ATP13A4	-9.502
ATP13A5	-8.024
ATP1A1	-7.607
ATP1A2	-6.650
ATP1A3	-7.320
ATP1A4	-2.825
ATP1B1	-5.934
ATP1B2	-7.470
ATP1B3	-8.182
ATP1B4	-7.861
ATP23	-2.591
ATP2A1	-5.700
ATP2A2	9.955
ATP2A3	-3.075
ATP2B1	-7.394
ATP2B2	-7.495
ATP2B3	-3.807
ATP2B4	-5.776
ATP2C1	-11.659
ATP2C2	-6.075
ATP4A	-10.220
ATP4B	-13.063
ATP5F1A	1.263
ATP5F1B	7.652
ATP5F1C	-8.697
ATP5F1D	-5.888
ATP5F1E	2.634
ATP5IF1	-6.074
ATP5MC1	-2.051
ATP5MC2	-1.844
ATP5MC3	-7.514
ATP5MD	-11.875
ATP5ME	-3.157
ATP5MF	8.133
ATP5MG	-2.355
