GENE	BF
ARL6IP1	-8.356
ARL6IP4	-9.470
ARL6IP5	-6.902
ARL6IP6	-1.065
ARL8A	0.882
ARL8B	-7.934
ARL9	-1.890
ARMC1	-5.907
ARMC10	-6.309
ARMC12	-6.007
ARMC2	-7.955
ARMC3	-5.677
ARMC4	-9.550
ARMC5	-0.920
ARMC6	-4.253
ARMC7	0.766
ARMC8	-5.796
ARMC9	-8.848
ARMCX1	-6.436
ARMCX2	-6.830
ARMCX3	-11.291
ARMCX4	-4.994
ARMCX5	-6.544
ARMCX6	-12.401
ARMH1	-7.067
ARMH2	-7.425
ARMH3	-2.212
ARMH4	-6.723
ARMS2	-4.838
ARMT1	-11.858
ARNT	-2.736
ARNT2	-7.696
ARNTL	-7.240
ARNTL2	-12.172
ARPC1A	-6.475
ARPC1B	-10.571
ARPC2	-2.533
ARPC3	-3.745
ARPC4	4.276
ARPC5	-6.950
ARPC5L	-5.949
ARPIN	-7.907
ARPP19	-3.636
ARPP21	-11.058
ARR3	-10.974
ARRB1	-6.432
ARRB2	-13.764
ARRDC1	1.033
ARRDC2	-4.947
ARRDC3	-9.153
ARRDC4	-4.237
ARRDC5	-8.879
ARSA	-3.377
ARSB	-5.040
ARSD	-7.641
ARSF	-6.785
ARSG	-3.985
ARSH	-5.831
ARSI	-4.305
ARSJ	-8.931
ARSK	-9.192
ARSL	-9.352
ART1	-2.366
ART3	-7.460
ART4	-10.109
ART5	-9.439
ARTN	-6.564
ARV1	-9.761
ARVCF	-8.840
ARX	-9.120
AS3MT	-8.817
ASAH1	-4.965
ASAH2	-3.190
ASAH2B	-6.844
ASAP1	-4.215
ASAP2	-9.543
ASAP3	-8.244
ASB1	-8.652
ASB10	-11.755
ASB11	-7.331
ASB12	-1.374
ASB13	-5.411
ASB14	-7.471
ASB15	-4.441
ASB16	-7.748
ASB17	-1.597
ASB18	-8.984
ASB2	-8.094
ASB3	-10.174
ASB4	-6.152
ASB5	-2.311
ASB6	-7.586
ASB7	-14.605
ASB8	-2.884
ASB9	-2.760
ASCC1	-7.402
ASCC2	-4.253
ASCC3	-2.034
ASCL1	-11.394
ASCL2	-3.420
ASCL3	-5.560
ASCL4	-5.555
ASCL5	-6.043
ASF1A	-0.298
ASF1B	-5.392
ASGR1	-7.650
ASGR2	-4.425
ASH1L	-3.820
ASH2L	0.370
ASIC1	-6.218
ASIC2	-5.781
ASIC3	-5.952
ASIC4	-5.903
ASIC5	-9.734
ASIP	-3.270
ASL	-1.276
ASMT	-4.270
ASMTL	-7.758
ASNS	-5.175
ASNSD1	-3.053
ASPA	-5.481
ASPDH	-14.031
ASPG	-4.674
ASPH	-8.324
ASPHD1	-10.006
ASPHD2	-4.368
ASPM	2.882
ASPN	-7.186
ASPRV1	-6.763
ASPSCR1	-6.420
ASRGL1	-7.755
ASS1	-7.590
ASTE1	-6.279
ASTL	-7.632
ASTN1	-11.657
ASTN2	-8.459
ASXL1	0.664
ASXL2	-11.482
ASXL3	-8.392
ASZ1	-4.210
ATAD1	-0.887
ATAD2	-7.198
ATAD2B	-4.585
ATAD3A	-3.825
ATAD3B	-4.996
ATAD3C	-3.890
ATAD5	0.343
ATAT1	-8.079
ATCAY	-4.117
ATE1	-2.984
ATF1	-6.881
ATF2	-14.615
ATF3	-6.921
ATF4	-8.896
ATF5	-6.478
ATF6	-6.375
ATF6B	-10.198
ATF7	-6.026
ATF7IP	-6.743
ATF7IP2	-1.435
ATG10	-3.937
ATG101	-8.073
ATG12	-6.194
ATG13	-5.301
ATG14	-5.278
ATG16L1	-7.790
ATG16L2	-13.128
ATG2A	-6.204
ATG2B	-9.208
ATG3	-2.564
ATG4A	-2.925
ATG4B	-10.955
ATG4C	-6.830
ATG4D	-4.364
ATG5	-5.644
ATG7	-6.015
ATG9A	-4.795
ATG9B	-4.673
ATIC	13.843
ATL1	-11.220
ATL2	-5.791
ATL3	-9.487
ATM	-13.292
ATMIN	5.563
ATN1	-6.008
ATOH1	-11.297
ATOH7	-7.960
ATOH8	0.674
ATOX1	-9.241
ATP10A	-4.772
ATP10B	-9.687
ATP10D	-4.669
ATP11A	-7.580
ATP11B	-2.823
ATP11C	-6.475
ATP12A	-4.869
ATP13A1	-2.422
ATP13A2	-6.847
ATP13A3	-3.953
ATP13A4	-9.697
ATP13A5	-7.345
ATP1A1	-8.248
ATP1A2	-7.347
ATP1A3	-7.428
ATP1A4	-2.788
ATP1B1	-5.972
ATP1B2	-7.401
ATP1B3	-8.822
ATP1B4	-7.948
ATP23	-2.690
ATP2A1	-5.805
ATP2A2	9.553
ATP2A3	-3.015
ATP2B1	-7.983
ATP2B2	-7.711
